,"Population treated for active trachoma","Population treated for active trachoma","Population treated for active trachoma","Population treated for active trachoma","Population treated for active trachoma","Population treated for active trachoma","Population treated for active trachoma","Population treated for active trachoma"
"Country","2012","2011","2010","2009","2008","2007","2006","2005"
"Afghanistan","203","No data","0","6032","5330","8282","No data","No data"
"Algeria","No data","No data","No data","No data","No data","No data","No data","No data"
"Australia","No data","No data","No data","No data","5709","No data","No data","No data"
"Benin","No data","No data","No data","No data","No data","No data","No data","No data"
"Botswana","No data","No data","No data","No data","No data","No data","No data","No data"
"Brazil","20000","0","50000","60000","40000","90000","No data","25000"
"Burkina Faso","2498155","4699418","2893060","3405260","966404","1053174","No data","No data"
"Burundi","161884","653216","875","875","No data","No data","No data","No data"
"Cote d'Ivoire","No data","No data","0","No data","No data","No data","No data","No data"
"Cambodia","25000","0","12000","10000","765","9000","No data","6000"
"Cameroon","1497733","732063","No data","110000","No data","No data","No data","No data"
"Central African Republic","3221","No data","230000","45500","No data","No data","No data","No data"
"Chad","No data","No data","No data","No data","No data","No data","No data","No data"
"China","No data","No data","No data","No data","No data","No data","No data","No data"
"Congo","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","No data","No data","0","0","No data","No data","No data","No data"
"Djibouti","No data","No data","1000","72","No data","No data","No data","No data"
"Egypt","100000","No data","No data","No data","No data","No data","No data","No data"
"Eritrea","No data","547332","77933","0","1364830","1364817","No data","No data"
"Ethiopia","18492639","19604106","18947985","15695222","14832830","6044714","2600000","2618488"
"Fiji","No data","No data","No data","No data","No data","No data","No data","No data"
"Gambia","6204","3175","49594","111969","151135","143658","401397","18402"
"Ghana","4990","Case management","Case management","Case management","147122","899580","770124","796378"
"Guatemala","75890","No data","No data","No data","No data","No data","No data","No data"
"Guinea","529000","0","0","0","0","0","0","0"
"Guinea-Bissau","400000","443377","303037","82311","0","No data","No data","No data"
"India","No data","No data","13798","No data","No data","No data","No data","No data"
"Iran (Islamic Republic of)","Case management","Case management","Case management","Case management","Case management","Case management","Case management","Case management"
"Iraq","Case management","Case management","Case management","Case management","Case management","Case management","Case management","Case management"
"Kenya","1977781","1201816","954864","798261","826015","800000","No data","No data"
"Kiribati","No data","No data","No data","No data","No data","No data","No data","No data"
"Lao People's Democratic Republic","4000","0","5000","No data","5000","5000","5000","5000"
"Libya","Case management","Case management","Case management","Case management","Case management","Case management","Case management","Case management"
"Malawi","906132","939110","0","0","No data","No data","No data","No data"
"Mali","565857","961522","3145826","6416637","5543624","1767877","3935247","3650000"
"Mauritania","No data","5312","23240","20504","70583","476867","523780","471948"
"Mexico","Case management","Case management","Case management","Case management","Case management","Case management","Case management","Case management"
"Morocco","Case management","Case management","Case management","Case management","Case management","1400","15798","12175"
"Mozambique","No data","No data","No data","No data","No data","No data","No data","No data"
"Myanmar","20000","No data","18715","11210","47000","50000","No data","No data"
"Namibia","No data","No data","No data","No data","No data","No data","No data","No data"
"Nauru","No data","No data","No data","No data","No data","No data","No data","No data"
"Nepal","1171578","2297026","1484730","3240487","2148846","944356","1169817","1082089"
"Niger","5209970","4125116","3539260","7526076","5816989","6050896","2003150","2229980"
"Nigeria","3421248","2802109","1100197","15000","0","No data","No data","7533"
"Oman","Case management","Case management","Case management","Case management","Case management","Case management","Case management","528"
"Pakistan","No data","No data","No data","No data","No data","449585","282024","282024"
"Papua New Guinea","No data","No data","No data","No data","No data","No data","No data","No data"
"Senegal","413449","244894","308278","316744","254330","No data","674219","245782"
"Solomon Islands","No data","No data","No data","No data","No data","No data","No data","No data"
"Somalia","No data","No data","No data","No data","No data","No data","No data","No data"
"South Sudan","323708","319641","No data","","","","",""
"Sudan","335791","396781","459902","685192","729642","236200","45000","132000"
"Togo","No data","No data","No data","No data","No data","No data","No data","No data"
"Uganda","5150695","5077371","2970522","3357551","0","682786","No data","0"
"United Republic of Tanzania","4439073","1385403","1956440","3030544","3197497","6380163","2107765","4990733"
"Vanuatu","No data","No data","No data","No data","No data","No data","No data","No data"
"Viet Nam","Case management","Case management","Case management","Case management","Case management","Case management","117000","12000"
"Yemen","No data","No data","0","0","0","0","No data","No data"
"Zambia","1031826","139","0","3856","No data","No data","No data","No data"
"Zimbabwe","No data","No data","No data","No data","No data","No data","No data","No data"
